lind	locus
571	L1955
572	L1958
573	L1960
574	L1963
575	L1965
576	L1966
577	L1972
578	L1976
579	L1979
580	L1980
581	L1981
582	L1982
583	L1987
584	L1989
585	L1996
586	L1997
587	L1999
588	L2001
589	L2008
590	L2012
591	L2013
592	L2014
593	L2018
594	L2020
595	L2023
596	L2025
597	L2026
598	L2027
599	L2031
600	L2035
601	L2037
602	L2038
603	L2041
604	L2054
605	L2056
606	L2057
607	L2058
608	L2059
609	L2061
610	L2063
611	L2066
612	L2067
613	L2069
614	L2070
615	L2075
616	L2077
617	L2079
618	L2080
619	L2083
620	L2084
621	L2088
622	L2090
623	L2092
624	L2096
625	L2100
626	L2101
627	L2107
628	L2108
629	L2111
630	L2112
631	L2113
632	L2117
633	L2118
634	L2119
635	L2121
636	L2123
637	L2124
638	L2126
639	L2127
640	L2128
641	L2129
642	L2130
643	L2132
644	L2136
645	L2139
646	L2141
647	L2143
648	L2145
649	L2146
650	L2154
651	L2157
652	L2159
653	L2163
654	L2167
655	L2178
656	L2179
657	L2183
658	L2184
659	L2186
660	L2188
661	L2189
662	L2190
663	L2191
664	L2192
665	L2194
666	L2197
667	L2199
668	L2200
669	L2204
670	L2205
671	L2207
672	L2209
673	L2210
674	L2211
675	L2212
676	L2213
677	L2216
678	L2223
679	L2230
680	L2231
681	L2232
682	L2234
683	L2237
684	L2238
685	L2239
686	L2246
687	L2248
688	L2250
689	L2251
690	L2254
691	L2255
692	L2258
693	L2263
694	L2266
695	L2269
696	L2271
697	L2273
698	L2274
699	L2276
700	L2278
701	L2280
702	L2285
703	L2291
704	L2294
705	L2296
706	L2297
707	L2303
708	L2311
709	L2313
710	L2321
711	L2325
712	L2326
713	L2329
714	L2335
715	L2336
716	L2339
717	L2344
718	L2353
719	L2355
720	L2360
721	L2363
722	L2364
723	L2365
724	L2370
725	L2371
726	L2377
727	L2378
728	L2380
729	L2381
730	L2386
731	L2387
732	L2388
733	L2390
734	L2391
735	L2392
736	L2393
737	L2398
738	L2403
739	L2404
740	L2405
741	L2408
742	L2409
743	L2411
744	L2415
745	L2419
746	L2420
747	L2421
748	L2422
749	L2424
750	L2426
751	L2429
752	L2434
753	L2437
754	L2439
755	L2447
756	L2448
757	L2451
758	L2455
759	L2456
760	L2458
761	L2460
762	L2467
763	L2468
764	L2473
765	L2475
766	L2477
767	L2478
768	L2480
769	L2481
770	L2483
771	L2484
772	L2486
773	L2493
774	L2500
775	L2504
776	L2507
777	L2509
778	L2511
779	L2512
780	L2514
781	L2517
782	L2518
783	L2524
784	L2525
785	L2526
786	L2530
787	L2531
788	L2535
789	L2536
790	L2539
791	L2540
792	L2541
793	L2545
794	L2548
795	L2554
796	L2558
797	L2559
798	L2560
799	L2567
800	L2569
801	L2571
802	L2577
803	L2579
804	L2580
805	L2581
806	L2582
807	L2583
808	L2587
809	L2589
810	L2592
811	L2595
812	L2596
813	L2597
814	L2599
815	L2604
816	L2608
817	L2611
818	L2617
819	L2618
820	L2619
821	L2625
822	L2626
823	L2630
824	L2632
825	L2634
826	L2636
827	L2638
828	L2640
829	L2641
830	L2644
831	L2646
832	L2650
833	L2651
834	L2652
835	L2653
836	L2654
837	L2655
838	L2659
839	L2660
840	L2661
841	L2662
842	L2664
843	L2666
844	L2673
845	L2679
846	L2683
847	L2684
848	L2696
849	L2700
850	L2702
851	L2703
852	L2707
853	L2708
854	L2709
855	L2714
856	L2715
857	L2716
858	L2720
859	L2721
860	L2731
861	L2737
862	L2743
863	L2746
864	L2747
865	L2749
866	L2753
867	L2757
868	L2762
869	L2765
870	L2772
871	L2776
872	L2777
873	L2779
874	L2780
875	L2781
876	L2784
877	L2786
878	L2790
879	L2791
880	L2797
881	L2799
882	L2800
883	L2801
884	L2805
885	L2808
886	L2809
887	L2810
888	L2815
889	L2817
890	L2818
891	L2822
892	L2824
893	L2826
894	L2831
895	L2832
896	L2833
897	L2839
898	L2841
899	L2845
900	L2847
901	L2849
902	L2850
903	L2851
904	L2857
905	L2860
906	L2861
907	L2862
908	L2866
909	L2873
910	L2874
911	L2875
912	L2880
913	L2881
914	L2882
915	L2886
916	L2893
917	L2897
918	L2899
919	L2900
920	L2903
921	L2904
922	L2908
923	L2910
924	L2912
925	L2919
926	L2920
927	L2926
928	L2928
929	L2930
930	L2931
931	L2932
932	L2933
933	L2937
934	L2938
935	L2940
936	L2944
937	L2945
938	L2946
939	L2948
940	L2959
941	L2961
942	L2971
943	L2972
944	L2973
945	L2974
946	L2975
947	L2977
948	L2984
949	L2990
950	L2995
951	L2997
952	L3003
953	L3018
954	L3019
955	L3023
956	L3025
957	L3030
958	L3031
959	L3033
960	L3036
961	L3037
962	L3043
963	L3047
964	L3048
965	L3050
966	L3053
967	L3054
968	L3057
969	L3058
970	L3060
971	L3064
972	L3067
973	L3075
974	L3078
975	L3080
976	L3082
977	L3090
978	L3096
979	L3098
980	L3100
981	L3103
982	L3104
983	L3105
984	L3110
985	L3113
986	L3115
987	L3118
988	L3119
989	L3120
990	L3124
991	L3128
992	L3131
993	L3132
994	L3139
995	L3140
996	L3143
997	L3145
998	L3146
999	L3148
1000	L3150
1001	L3151
1002	L3154
1003	L3155
1004	L3156
1005	L3158
1006	L3159
1007	L3166
1008	L3171
1009	L3173
1010	L3175
1011	L3180
1012	L3181
1013	L3182
1014	L3185
1015	L3186
1016	L3187
1017	L3188
1018	L3192
1019	L3193
1020	L3194
1021	L3197
1022	L3202
1023	L3204
1024	L3206
1025	L3209
1026	L3211
1027	L3212
1028	L3214
1029	L3217
1030	L3218
1031	L3219
1032	L3221
1033	L3223
1034	L3224
1035	L3225
1036	L3227
1037	L3231
1038	L3233
1039	L3238
1040	L3241
1041	L3243
1042	L3244
1043	L3245
1044	L3251
1045	L3252
1046	L3257
1047	L3258
1048	L3263
1049	L3268
1050	L3269
1051	L3271
1052	L3277
1053	L3282
1054	L3283
1055	L3284
1056	L3285
1057	L3295
1058	L3296
1059	L3297
1060	L3300
1061	L3303
1062	L3304
1063	L3307
1064	L3313
1065	L3316
1066	L3317
1067	L3320
1068	L3321
1069	L3323
1070	L3328
1071	L3329
1072	L3330
1073	L3336
1074	L3337
1075	L3338
1076	L3339
1077	L3340
1078	L3343
1079	L3347
1080	L3352
1081	L3361
1082	L3364
1083	L3374
1084	L3378
1085	L3380
1086	L3385
1087	L3388
1088	L3390
1089	L3391
1090	L3392
1091	L3393
1092	L3396
1093	L3397
1094	L3400
1095	L3401
1096	L3403
1097	L3405
1098	L3409
1099	L3416
1100	L3417
1101	L3419
1102	L3422
1103	L3436
1104	L3437
1105	L3440
1106	L3446
1107	L3448
1108	L3453
1109	L3454
1110	L3455
1111	L3457
1112	L3460
1113	L3463
1114	L3466
1115	L3471
1116	L3473
1117	L3475
1118	L3479
1119	L3485
1120	L3486
1121	L3488
1122	L3490
1123	L3491
1124	L3498
1125	L3500
1126	L3505
1127	L3508
1128	L3512
1129	L3516
1130	L3517
1131	L3518
1132	L3529
1133	L3530
1134	L3534
1135	L3539
1136	L3543
1137	L3546
1138	L3548
1139	L3550
1140	L3554
1141	L3558
1142	L3560
1143	L3563
1144	L3564
1145	L3565
1146	L3569
1147	L3581
1148	L3582
1149	L3583
1150	L3585
1151	L3595
1152	L3596
1153	L3598
1154	L3599
1155	L3605
1156	L3607
1157	L3609
1158	L3610
1159	L3615
1160	L3617
1161	L3619
1162	L3621
1163	L3623
1164	L3626
1165	L3628
1166	L3629
1167	L3634
1168	L3639
1169	L3640
1170	L3642
1171	L3646
1172	L3647
1173	L3650
1174	L3652
1175	L3654
1176	L3655
1177	L3656
1178	L3660
1179	L3663
1180	L3664
1181	L3666
1182	L3669
1183	L3670
1184	L3672
1185	L3673
1186	L3679
1187	L3680
1188	L3681
1189	L3683
1190	L3685
1191	L3687
1192	L3691
1193	L3696
1194	L3699
1195	L3717
1196	L3718
1197	L3726
1198	L3728
1199	L3731
1200	L3736
1201	L3737
1202	L3742
1203	L3744
1204	L3749
1205	L3750
1206	L3753
1207	L3760
1208	L3762
1209	L3763
1210	L3767
1211	L3770
1212	L3774
1213	L3779
1214	L3780
1215	L3782
1216	L3786
1217	L3796
1218	L3798
1219	L3799
1220	L3803
1221	L3808
1222	L3809
1223	L3810
1224	L3811
1225	L3812
1226	L3815
1227	L3822
1228	L3824
1229	L3826
1230	L3827
1231	L3831
1232	L3834
1233	L3840
1234	L3851
1235	L3854
1236	L3861
1237	L3863
1238	L3864
1239	L3865
1240	L3869
1241	L3871
1242	L3872
1243	L3874
1244	L3877
