site	max_n	Ho	He	Fis
X01b_04	4	0.0633862698511942	0.0357868955411346	-0.683716043054844
X01u_05	5	0.0701794861116895	0.211626947368421	0.63966062412052
X02b_05	5	0.0655152751186215	0.0373537139758936	-0.599396475770925
X02u_05	5	0.0457109489051095	0.048530840436257	-0.0540534521158129
X03b_05	5	0.0625474051896208	0.327448129916732	0.763233619958823
X03u_05	5	0.0663169797387732	0.0392803101064823	-0.609230379746835
X05b_05	5	0.0803565786504175	0.0544803898816431	-0.356294578138591
X05u_05	5	0.0640129302494992	0.0697524052065648	0.0629170090386196
X06b_05	5	0.0938259244426645	0.0747561145403072	-0.197332578758725
X06u_04	4	0.0573991068820166	0.0418677092138631	-0.367810287871638
X07b_05	5	0.100931098696462	0.103013982699372	-0.135901942645698
X07u_05	5	0.0898366666666667	0.0653906053755338	-0.228230916030534
X08b_05	5	0.11558979749917	0.0714619949138175	-0.598363374188897
X08u_05	5	0.0641372141372141	0.25864367241523	0.742162439149372
X10b_05	5	0.0614501460158531	0.0337685596845902	-0.721127900701565
X10u_05	5	0.0662510916122593	0.290655785606946	0.745668571428571
X11b1_05	5	0.0490083348270299	0.270141776937618	0.721780498764323
X11b2_05	5	0.0645734118267288	0.371687861271676	0.740325020112631
X11b3_05	5	0.0473366635342994	0.364189326642707	0.768990517344857
