lind	locus
1	L9
2	L59
3	L176
4	L205
5	L207
6	L209
7	L232
8	L274
9	L300
10	L316
11	L326
12	L376
13	L379
14	L383
15	L410
16	L428
17	L430
18	L433
19	L444
20	L478
21	L480
22	L490
23	L495
24	L496
25	L505
26	L508
27	L509
28	L547
29	L551
30	L556
31	L572
32	L579
33	L582
34	L592
35	L597
36	L619
37	L624
38	L632
39	L663
40	L673
41	L676
42	L694
43	L695
44	L710
45	L715
46	L722
47	L739
48	L741
49	L746
50	L764
51	L768
52	L771
53	L782
54	L785
55	L810
56	L821
57	L824
58	L825
59	L827
60	L829
61	L859
62	L890
63	L899
64	L907
65	L924
66	L936
67	L939
68	L949
69	L952
70	L956
71	L960
72	L968
73	L969
74	L978
75	L985
76	L989
77	L990
78	L993
79	L1001
80	L1029
81	L1044
82	L1064
83	L1071
84	L1077
85	L1081
86	L1098
87	L1102
88	L1138
89	L1146
90	L1150
91	L1185
92	L1199
93	L1205
94	L1209
95	L1230
96	L1233
97	L1242
98	L1253
99	L1254
100	L1257
101	L1263
102	L1280
103	L1281
104	L1304
105	L1323
106	L1333
107	L1336
108	L1345
109	L1350
110	L1359
111	L1362
112	L1372
113	L1373
114	L1389
115	L1396
116	L1414
117	L1416
118	L1421
119	L1433
120	L1463
121	L1496
122	L1499
123	L1512
124	L1516
125	L1548
126	L1550
127	L1551
128	L1552
129	L1568
130	L1575
131	L1596
132	L1601
133	L1625
134	L1636
135	L1650
136	L1652
137	L1689
138	L1692
139	L1699
140	L1704
141	L1720
142	L1723
143	L1724
144	L1725
145	L1740
146	L1748
147	L1751
148	L1753
149	L1758
150	L1766
151	L1767
152	L1769
153	L1786
154	L1787
155	L1797
156	L1801
157	L1837
158	L1838
159	L1840
160	L1852
161	L1854
162	L1888
163	L1894
164	L1895
165	L1904
166	L1913
167	L1919
168	L1928
169	L1944
170	L1953
171	L1958
172	L1965
173	L1972
174	L1980
175	L1982
176	L1989
177	L1996
178	L2001
179	L2008
180	L2013
181	L2018
182	L2020
183	L2041
184	L2061
185	L2070
186	L2075
187	L2077
188	L2079
189	L2080
190	L2084
191	L2118
192	L2119
193	L2126
194	L2154
195	L2178
196	L2183
197	L2184
198	L2205
199	L2207
200	L2209
201	L2211
202	L2232
203	L2239
204	L2251
205	L2254
206	L2271
207	L2296
208	L2311
209	L2321
210	L2335
211	L2336
212	L2370
213	L2371
214	L2377
215	L2388
216	L2393
217	L2398
218	L2408
219	L2415
220	L2421
221	L2424
222	L2447
223	L2458
224	L2467
225	L2468
226	L2473
227	L2493
228	L2500
229	L2525
230	L2530
231	L2540
232	L2541
233	L2569
234	L2582
235	L2589
236	L2617
237	L2618
238	L2619
239	L2638
240	L2640
241	L2651
242	L2707
243	L2708
244	L2714
245	L2737
246	L2746
247	L2749
248	L2762
249	L2777
250	L2786
251	L2797
252	L2800
253	L2801
254	L2808
255	L2810
256	L2817
257	L2824
258	L2860
259	L2861
260	L2873
261	L2899
262	L2930
263	L2938
264	L2945
265	L2946
266	L2948
267	L2973
268	L3003
269	L3025
270	L3037
271	L3043
272	L3047
273	L3048
274	L3064
275	L3067
276	L3104
277	L3105
278	L3131
279	L3140
280	L3143
281	L3146
282	L3155
283	L3181
284	L3185
285	L3193
286	L3197
287	L3211
288	L3219
289	L3223
290	L3227
291	L3241
292	L3251
293	L3269
294	L3277
295	L3283
296	L3300
297	L3307
298	L3313
299	L3320
300	L3329
301	L3339
302	L3347
303	L3374
304	L3390
305	L3396
306	L3416
307	L3417
308	L3422
309	L3436
310	L3455
311	L3466
312	L3491
313	L3498
314	L3508
315	L3516
316	L3548
317	L3569
318	L3596
319	L3599
