lind	locus
542	L6898
543	L6910
544	L6914
545	L6922
546	L6931
547	L6951
548	L6988
549	L7011
550	L7027
551	L7049
552	L7064
553	L7075
554	L7078
555	L7085
556	L7088
557	L7094
558	L7137
559	L7140
560	L7151
561	L7159
562	L7162
563	L7179
564	L7180
565	L7191
566	L7195
567	L7207
568	L7209
569	L7211
570	L7213
571	L7226
572	L7258
573	L7270
574	L7281
575	L7299
576	L7305
577	L7314
578	L7327
579	L7363
580	L7387
581	L7396
582	L7422
583	L7431
584	L7436
585	L7442
586	L7447
587	L7455
588	L7457
589	L7478
590	L7496
591	L7497
592	L7500
593	L7513
594	L7525
595	L7533
596	L7551
597	L7565
598	L7573
599	L7580
600	L7583
601	L7603
602	L7610
603	L7614
604	L7625
605	L7628
606	L7640
607	L7646
608	L7648
609	L7663
610	L7665
611	L7677
612	L7688
613	L7719
614	L7721
615	L7728
616	L7739
617	L7753
618	L7776
619	L7778
620	L7788
621	L7789
622	L7792
623	L7806
624	L7823
625	L7836
626	L7839
627	L7847
628	L7852
629	L7859
630	L7866
631	L7883
632	L7884
633	L7900
634	L7909
635	L7917
636	L7920
637	L7925
638	L7931
639	L7948
640	L7962
641	L7964
642	L7969
643	L7978
644	L8002
645	L8007
646	L8022
647	L8024
648	L8029
649	L8039
650	L8048
651	L8063
652	L8065
653	L8072
654	L8077
655	L8102
656	L8116
657	L8118
658	L8120
659	L8123
660	L8156
661	L8160
662	L8163
663	L8194
664	L8197
665	L8213
666	L8223
667	L8226
668	L8234
669	L8240
670	L8245
671	L8248
672	L8265
673	L8285
674	L8289
675	L8302
676	L8308
677	L8316
678	L8328
679	L8352
680	L8354
681	L8358
682	L8359
683	L8364
684	L8367
685	L8371
686	L8388
687	L8391
688	L8413
689	L8437
690	L8466
691	L8468
692	L8469
693	L8481
694	L8509
695	L8522
696	L8525
697	L8536
698	L8547
699	L8556
700	L8559
701	L8562
702	L8567
703	L8572
704	L8578
705	L8594
706	L8606
707	L8644
708	L8646
709	L8657
710	L8668
711	L8678
712	L8679
713	L8737
714	L8751
715	L8759
716	L8760
717	L8784
718	L8793
719	L8830
720	L8836
721	L8839
722	L8852
723	L8855
724	L8859
725	L8871
