lind	locus
543	L7450
544	L7495
545	L7502
546	L7507
547	L7522
548	L7584
549	L7597
550	L7616
551	L7661
552	L7674
553	L7679
554	L7681
555	L7692
556	L7704
557	L7714
558	L7743
559	L7752
560	L7756
561	L7765
562	L7774
563	L7791
564	L7798
565	L7818
566	L7830
567	L7833
568	L7849
569	L7853
570	L7858
571	L7872
572	L7874
573	L7876
574	L7878
575	L7882
576	L7888
577	L7924
578	L7934
579	L7951
580	L7992
581	L7994
582	L8000
583	L8021
584	L8037
585	L8038
586	L8045
587	L8055
588	L8086
589	L8093
590	L8126
591	L8144
592	L8151
593	L8154
594	L8195
595	L8203
596	L8215
597	L8224
598	L8229
599	L8264
600	L8377
601	L8411
602	L8432
603	L8453
604	L8471
605	L8478
606	L8483
607	L8484
608	L8508
609	L8511
610	L8560
611	L8565
612	L8577
613	L8592
614	L8620
615	L8643
616	L8645
617	L8650
618	L8658
619	L8672
620	L8676
621	L8677
622	L8686
623	L8692
624	L8693
625	L8694
626	L8718
627	L8740
628	L8753
629	L8766
630	L8776
631	L8788
632	L8795
633	L8801
634	L8803
635	L8813
636	L8817
637	L8829
638	L8834
639	L8844
640	L8865
641	L8867
642	L8872
643	L8886
644	L8891
645	L8892
646	L8895
647	L8901
648	L8906
649	L8907
650	L8909
651	L8928
652	L8929
653	L8933
654	L8951
655	L8953
656	L8964
657	L9010
658	L9014
659	L9018
660	L9020
661	L9028
662	L9042
663	L9059
664	L9075
665	L9083
666	L9094
667	L9104
668	L9110
669	L9115
670	L9117
671	L9156
672	L9160
673	L9178
674	L9179
675	L9182
676	L9183
677	L9225
678	L9228
679	L9251
680	L9266
681	L9283
682	L9321
683	L9339
684	L9344
685	L9348
686	L9350
687	L9356
688	L9364
689	L9374
690	L9378
691	L9402
692	L9404
693	L9421
694	L9426
695	L9437
696	L9444
697	L9446
698	L9449
699	L9456
700	L9465
701	L9474
702	L9485
703	L9490
704	L9516
705	L9520
706	L9549
707	L9550
708	L9562
709	L9573
710	L9589
711	L9623
712	L9660
713	L9669
714	L9679
715	L9716
716	L9718
717	L9733
718	L9735
719	L9740
720	L9749
721	L9763
722	L9767
723	L9772
724	L9775
725	L9808
726	L9815
727	L9846
728	L9859
729	L9894
730	L9902
731	L9915
732	L9918
733	L9923
734	L9940
735	L9945
736	L9951
737	L9973
738	L9978
739	L9985
740	L9998
741	L10001
742	L10007
743	L10016
744	L10028
745	L10039
746	L10057
747	L10076
748	L10084
749	L10086
750	L10141
751	L10154
752	L10171
753	L10176
754	L10181
755	L10209
756	L10211
757	L10216
758	L10245
759	L10261
760	L10284
761	L10288
762	L10296
763	L10315
764	L10332
765	L10388
766	L10394
767	L10436
768	L10471
769	L10691
770	L10733
771	L10824
772	L10977
773	L11204
774	L11221
775	L11304
776	L11366
777	L11404
778	L11424
779	L11484
780	L11558
781	L11604
782	L11620
783	L11622
784	L11625
785	L11628
786	L11638
787	L11646
788	L11659
789	L11662
790	L11673
791	L11682
792	L11685
793	L11687
794	L11765
795	L11766
796	L11821
797	L11846
798	L11877
799	L11916
800	L11919
801	L11953
802	L11956
803	L11963
804	L11979
805	L11988
806	L11992
807	L11993
808	L12005
809	L12019
810	L12029
811	L12033
812	L12102
813	L12104
814	L12123
815	L12151
816	L12156
817	L12161
818	L12163
819	L12178
820	L12192
821	L12200
822	L12251
823	L12266
824	L12275
825	L12278
826	L12279
827	L12284
828	L12347
829	L12352
830	L12356
831	L12371
832	L12380
833	L12386
834	L12411
835	L12412
836	L12422
837	L12425
838	L12429
839	L12464
840	L12477
841	L12484
842	L12495
843	L12497
844	L12503
845	L12524
846	L12531
847	L12551
848	L12564
849	L12575
850	L12578
851	L12591
852	L12624
853	L12640
854	L12649
855	L12650
856	L12679
857	L12691
858	L12706
859	L12711
860	L12751
861	L12773
862	L12797
863	L12840
864	L12843
865	L12891
866	L12901
867	L12904
868	L12937
869	L12942
870	L12949
871	L12954
872	L12965
873	L12982
874	L12995
875	L13029
876	L13035
877	L13037
878	L13052
879	L13054
880	L13060
881	L13064
882	L13069
883	L13084
884	L13107
885	L13123
886	L13125
887	L13146
888	L13164
889	L13176
890	L13190
891	L13202
892	L13216
893	L13241
894	L13265
895	L13275
896	L13286
897	L13289
898	L13297
899	L13299
900	L13321
901	L13325
902	L13328
903	L13347
904	L13360
905	L13368
906	L13407
907	L13449
908	L13457
909	L13502
910	L13505
911	L13564
912	L13570
913	L13601
914	L13632
915	L13639
916	L13640
917	L13648
918	L13654
919	L13660
920	L13661
921	L13740
922	L13762
923	L13765
924	L13786
925	L13807
926	L13810
927	L13817
928	L13819
929	L13841
930	L13849
931	L13850
932	L13861
933	L13865
934	L13867
935	L13869
936	L13921
937	L13945
938	L13966
939	L13993
940	L14002
941	L14007
942	L14013
943	L14025
944	L14034
945	L14042
946	L14056
947	L14060
948	L14069
949	L14075
950	L14101
951	L14119
952	L14121
953	L14123
954	L14129
955	L14137
956	L14162
957	L14166
958	L14180
959	L14190
960	L14223
961	L14231
962	L14235
963	L14254
964	L14255
965	L14261
966	L14319
967	L14320
968	L14321
969	L14323
970	L14336
971	L14343
972	L14350
973	L14382
974	L14388
975	L14391
976	L14403
977	L14456
978	L14460
979	L14471
980	L14482
981	L14486
982	L14489
983	L14498
984	L14499
985	L14509
986	L14511
987	L14516
988	L14518
989	L14541
990	L14546
991	L14561
992	L14568
993	L14570
994	L14572
995	L14578
996	L14587
997	L14595
998	L14603
999	L14615
1000	L14618
1001	L14624
1002	L14626
1003	L14635
1004	L14636
1005	L14682
1006	L14719
1007	L14722
1008	L14733
1009	L14752
1010	L14757
1011	L14785
1012	L14823
1013	L14883
1014	L14910
1015	L14915
1016	L14923
1017	L14939
1018	L14949
1019	L14952
1020	L14955
1021	L14961
1022	L14967
1023	L14993
1024	L15002
1025	L15009
1026	L15029
1027	L15047
1028	L15060
1029	L15097
1030	L15114
1031	L15123
1032	L15125
1033	L15138
1034	L15152
1035	L15168
1036	L15201
1037	L15202
1038	L15205
1039	L15227
1040	L15237
1041	L15280
1042	L15290
1043	L15291
1044	L15313
1045	L15374
1046	L15394
1047	L15429
1048	L15491
1049	L15515
1050	L15547
1051	L15553
1052	L15562
1053	L15595
1054	L15612
1055	L15618
1056	L15621
1057	L15622
1058	L15654
1059	L15655
1060	L15664
1061	L15668
1062	L15683
1063	L15700
1064	L15724
1065	L15768
1066	L15784
1067	L15807
1068	L15808
1069	L15819
1070	L15831
1071	L15832
1072	L15855
1073	L15859
1074	L15903
1075	L15908
1076	L15914
1077	L15940
1078	L15951
1079	L15955
1080	L16047
1081	L16052
1082	L16056
1083	L16108
1084	L16126
1085	L16152
1086	L16161
1087	L16162
1088	L16167
1089	L16168
1090	L16184
1091	L16233
1092	L16299
1093	L16346
1094	L16439
1095	L16481
1096	L16489
1097	L16530
1098	L16572
1099	L16604
1100	L16660
1101	L16664
1102	L16672
1103	L16684
1104	L16724
1105	L16754
1106	L16822
1107	L16849
1108	L16850
1109	L16882
1110	L16883
1111	L16909
1112	L16919
1113	L16938
1114	L16953
1115	L16974
1116	L17038
1117	L17046
1118	L17053
1119	L17125
1120	L17132
1121	L17151
1122	L17165
1123	L17178
1124	L17233
1125	L17240
1126	L17246
1127	L17254
1128	L17261
1129	L17264
1130	L17277
1131	L17348
1132	L17357
1133	L17366
1134	L17383
1135	L17384
1136	L17386
1137	L17388
1138	L17403
1139	L17407
1140	L17422
1141	L17438
1142	L17439
1143	L17446
1144	L17448
1145	L17454
1146	L17459
1147	L17472
1148	L17480
1149	L17496
1150	L17504
1151	L17510
1152	L17517
1153	L17527
1154	L17540
1155	L17552
1156	L17595
1157	L17616
1158	L17620
1159	L17622
1160	L17634
1161	L17643
1162	L17649
1163	L17663
1164	L17669
1165	L17681
1166	L17692
1167	L17702
1168	L17724
1169	L17734
1170	L17751
1171	L17758
1172	L17809
1173	L17812
1174	L17817
1175	L17846
1176	L17852
1177	L17868
1178	L17870
1179	L17874
1180	L17876
1181	L17904
1182	L17906
1183	L17922
1184	L17932
1185	L17934
1186	L17936
1187	L17940
1188	L17965
1189	L17966
1190	L17980
1191	L17984
1192	L18014
1193	L18017
1194	L18061
1195	L18064
1196	L18073
1197	L18078
1198	L18089
1199	L18091
1200	L18096
1201	L18106
1202	L18109
1203	L18113
1204	L18122
1205	L18164
1206	L18169
1207	L18202
1208	L18230
1209	L18245
1210	L18257
1211	L18272
1212	L18311
1213	L18355
1214	L18370
1215	L18385
1216	L18395
1217	L18399
1218	L18414
1219	L18424
1220	L18425
1221	L18431
1222	L18443
1223	L18464
1224	L18475
1225	L18511
1226	L18512
1227	L18519
1228	L18523
1229	L18527
1230	L18537
1231	L18560
1232	L18583
1233	L18594
1234	L18602
1235	L18609
1236	L18625
1237	L18628
1238	L18629
1239	L18635
1240	L18662
1241	L18666
1242	L18668
1243	L18676
1244	L18679
1245	L18706
1246	L18718
1247	L18746
1248	L18747
1249	L18757
1250	L18771
1251	L18777
1252	L18792
1253	L18795
1254	L18798
1255	L18821
1256	L18826
1257	L18874
1258	L18882
1259	L18899
1260	L18905
1261	L18915
1262	L18920
1263	L18922
1264	L18944
1265	L18991
1266	L19000
1267	L19002
1268	L19011
1269	L19033
1270	L19102
1271	L19103
1272	L19106
1273	L19125
1274	L19140
1275	L19156
1276	L19159
1277	L19182
1278	L19184
1279	L19194
1280	L19205
1281	L19212
1282	L19213
1283	L19239
1284	L19243
1285	L19256
1286	L19257
1287	L19284
1288	L19339
1289	L19340
1290	L19344
1291	L19384
1292	L19385
1293	L19404
1294	L19409
1295	L19414
1296	L19415
1297	L19421
1298	L19444
1299	L19451
1300	L19452
1301	L19471
1302	L19472
1303	L19490
1304	L19507
1305	L19533
1306	L19552
1307	L19554
1308	L19564
1309	L19575
1310	L19579
1311	L19581
1312	L19588
1313	L19591
1314	L19606
1315	L19638
1316	L19651
1317	L19655
1318	L19660
1319	L19665
1320	L19669
1321	L19675
1322	L19779
1323	L19799
1324	L19812
1325	L19835
1326	L19859
1327	L19881
1328	L19883
1329	L19903
1330	L19934
1331	L19938
1332	L19939
1333	L19949
1334	L19951
1335	L19952
1336	L19953
1337	L19967
1338	L19984
1339	L20004
1340	L20011
1341	L20012
1342	L20040
1343	L20062
1344	L20065
1345	L20095
1346	L20104
1347	L20107
1348	L20127
1349	L20158
1350	L20160
1351	L20165
1352	L20171
1353	L20175
1354	L20178
1355	L20189
1356	L20236
1357	L20257
1358	L20278
1359	L20290
1360	L20318
1361	L20320
1362	L20322
1363	L20324
1364	L20334
1365	L20352
1366	L20405
1367	L20417
1368	L20444
1369	L20474
1370	L20485
1371	L20497
1372	L20525
1373	L20538
1374	L20547
1375	L20557
1376	L20574
1377	L20583
1378	L20594
1379	L20598
1380	L20605
1381	L20607
1382	L20614
1383	L20626
1384	L20635
1385	L20656
1386	L20657
1387	L20678
1388	L20681
1389	L20686
1390	L20687
1391	L20719
1392	L20825
1393	L20835
1394	L20842
1395	L20845
1396	L20851
1397	L20862
1398	L20869
1399	L20878
1400	L20885
1401	L20887
1402	L20901
1403	L20915
1404	L20917
1405	L20934
1406	L20939
1407	L20946
1408	L20948
1409	L20953
1410	L20956
1411	L20969
1412	L21012
1413	L21027
1414	L21031
1415	L21045
1416	L21056
1417	L21081
1418	L21083
1419	L21085
1420	L21087
1421	L21099
1422	L21128
1423	L21139
1424	L21163
1425	L21173
1426	L21180
1427	L21186
1428	L21188
1429	L21205
1430	L21222
1431	L21234
1432	L21243
1433	L21247
1434	L21262
1435	L21266
1436	L21267
1437	L21283
1438	L21293
1439	L21302
1440	L21352
1441	L21365
1442	L21371
1443	L21382
1444	L21395
1445	L21402
1446	L21404
1447	L21406
1448	L21410
1449	L21424
1450	L21444
1451	L21449
1452	L21459
1453	L21468
1454	L21498
1455	L21515
1456	L21520
1457	L21542
1458	L21557
1459	L21579
1460	L21584
1461	L21605
1462	L21608
1463	L21618
1464	L21620
1465	L21624
1466	L21655
1467	L21659
1468	L21677
1469	L21684
