lind	locus
573	L1960
574	L1963
575	L1966
576	L1972
577	L1976
578	L1979
579	L1980
580	L1981
581	L1982
582	L1987
583	L1989
584	L2006
585	L2008
586	L2012
587	L2013
588	L2018
589	L2020
590	L2023
591	L2025
592	L2026
593	L2027
594	L2031
595	L2035
596	L2038
597	L2041
598	L2044
599	L2054
600	L2056
601	L2057
602	L2061
603	L2063
604	L2067
605	L2069
606	L2070
607	L2072
608	L2075
609	L2077
610	L2080
611	L2083
612	L2084
613	L2086
614	L2088
615	L2091
616	L2092
617	L2094
618	L2096
619	L2101
620	L2107
621	L2111
622	L2112
623	L2117
624	L2118
625	L2119
626	L2121
627	L2123
628	L2124
629	L2126
630	L2127
631	L2128
632	L2129
633	L2130
634	L2132
635	L2135
636	L2139
637	L2141
638	L2143
639	L2145
640	L2146
641	L2154
642	L2159
643	L2161
644	L2163
645	L2170
646	L2178
647	L2179
648	L2183
649	L2184
650	L2185
651	L2186
652	L2188
653	L2189
654	L2190
655	L2191
656	L2192
657	L2194
658	L2199
659	L2200
660	L2204
661	L2205
662	L2207
663	L2210
664	L2211
665	L2212
666	L2216
667	L2218
668	L2223
669	L2225
670	L2228
671	L2230
672	L2231
673	L2232
674	L2234
675	L2237
676	L2238
677	L2239
678	L2246
679	L2247
680	L2248
681	L2250
682	L2251
683	L2255
684	L2258
685	L2263
686	L2271
687	L2273
688	L2274
689	L2275
690	L2278
691	L2280
692	L2285
693	L2291
694	L2294
695	L2296
696	L2297
697	L2299
698	L2303
699	L2321
700	L2325
701	L2326
702	L2329
703	L2335
704	L2337
705	L2339
706	L2342
707	L2344
708	L2349
709	L2355
710	L2359
711	L2360
712	L2363
713	L2364
714	L2365
715	L2370
716	L2371
717	L2378
718	L2380
719	L2381
720	L2386
721	L2387
722	L2388
723	L2391
724	L2392
725	L2393
726	L2394
727	L2403
728	L2405
729	L2408
730	L2411
731	L2414
732	L2415
733	L2420
734	L2421
735	L2422
736	L2426
737	L2429
738	L2434
739	L2437
740	L2439
741	L2447
742	L2448
743	L2456
744	L2458
745	L2461
746	L2467
747	L2469
748	L2473
749	L2475
750	L2480
751	L2481
752	L2484
753	L2493
754	L2500
755	L2504
756	L2511
757	L2512
758	L2515
759	L2517
760	L2518
761	L2524
762	L2525
763	L2526
764	L2530
765	L2531
766	L2535
767	L2536
768	L2538
769	L2539
770	L2541
771	L2545
772	L2546
773	L2548
774	L2551
775	L2554
776	L2559
777	L2560
778	L2567
779	L2569
780	L2571
781	L2576
782	L2577
783	L2579
784	L2580
785	L2581
786	L2583
787	L2587
788	L2589
789	L2592
790	L2595
791	L2596
792	L2597
793	L2599
794	L2602
795	L2604
796	L2606
797	L2607
798	L2608
799	L2611
800	L2613
801	L2617
802	L2618
803	L2622
804	L2625
805	L2626
806	L2630
807	L2633
808	L2634
809	L2636
810	L2638
811	L2640
812	L2641
813	L2646
814	L2651
815	L2652
816	L2653
817	L2654
818	L2655
819	L2659
820	L2660
821	L2662
822	L2666
823	L2679
824	L2696
825	L2700
826	L2702
827	L2708
828	L2709
829	L2715
830	L2716
831	L2720
832	L2721
833	L2729
834	L2731
835	L2737
836	L2746
837	L2747
838	L2750
839	L2752
840	L2760
841	L2762
842	L2765
843	L2771
844	L2776
845	L2779
846	L2780
847	L2781
848	L2784
849	L2786
850	L2790
851	L2791
852	L2797
853	L2799
854	L2800
855	L2801
856	L2805
857	L2809
858	L2810
859	L2814
860	L2815
861	L2817
862	L2818
863	L2822
864	L2824
865	L2831
866	L2832
867	L2833
868	L2839
869	L2840
