pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X01u	X11b3	0.4555	0.3795	0.584	0.6985	0.1208	-23.943611	132.786667	-23.916858	132.735055	6032.33169928647	0.0267529999999994	X01	X11	0
X02b	X02u	0.0294	-0.0143	-0.0155	-0.0302	0	-23.938056	132.873889	-23.937778	132.874167	41.8207850449024	0.000277999999998002	X02	X02	1
X02b	X03b	0.6777	0.5315	0.7211	0.8179	0.261	-23.938056	132.873889	-23.940556	132.978056	10607.756427568	-0.00250000000000128	X02	X03	0
X02b	X03u	0.944	0.886	0.9638	0.9808	0.469	-23.938056	132.873889	-23.940278	132.977778	10578.7160851932	-0.00222199999999972	X02	X03	0
X02b	X05b	0.9324	0.8655	0.9545	0.9756	0.4467	-23.938056	132.873889	-23.965	133.153333	28600.6752156853	-0.0269440000000003	X02	X05	0
X02b	X05u	0.9226	0.8498	0.9479	0.9718	0.4384	-23.938056	132.873889	-23.966389	133.153333	28616.9850333129	-0.0283329999999999	X02	X05	0
X02b	X06b	0.9177	0.8395	0.942	0.9685	0.4242	-23.938056	132.873889	-23.9575	133.245833	37922.4059744643	-0.019444	X02	X06	0
X02b	X06u	0.0067	-0.035	-0.0381	-0.0758	-2e-04	-23.938056	132.873889	-23.956944	133.245556	37890.8860551234	-0.0188880000000005	X02	X06	0
X02b	X07b	0.8931	0.7769	0.8966	0.9418	0.2826	-23.938056	132.873889	-23.907778	133.330833	46643.2036097135	0.0302779999999991	X02	X07	0
X02b	X07u	0.0158	-0.0164	-0.0183	-0.0353	-1e-04	-23.938056	132.873889	-23.907778	133.330833	46643.2036097135	0.0302779999999991	X02	X07	0
X02b	X08b	0.9069	0.8129	0.9184	0.955	0.3123	-23.938056	132.873889	-23.846111	133.454167	59964.4371047103	0.0919449999999991	X02	X08	0
X02b	X08u	-0.0019	0.0349	0.046	0.0782	5e-04	-23.938056	132.873889	-23.845833	133.453611	59913.9430440686	0.0922230000000006	X02	X08	0
X02b	X10b	0.0036	-0.0398	-0.0429	-0.0861	-3e-04	-23.938056	132.873889	-23.768056	133.626111	78905.8057253027	0.169999999999998	X02	X10	0
X02b	X10u	0.0242	0.0488	0.066	0.1094	0.0013	-23.938056	132.873889	-23.768333	133.626389	78925.9153933489	0.169723000000001	X02	X10	0
X02b	X11b1	0.8047	0.6618	0.8291	0.8972	0.2849	-23.938056	132.873889	-23.916858	132.735055	14328.1805387209	0.0211979999999983	X02	X11	0
