pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X01b	X01u	0.0377	0.0169	0.0183	0.0346	0	-23.943611	132.786389	-23.943611	132.786667	28.2993052965283	0	X01	X01	1
X01b	X02b	0.0054	-0.0068	-0.0073	-0.0143	0	-23.943611	132.786389	-23.938056	132.873889	8928.56949463461	0.00555500000000109	X01	X02	0
X01b	X02u	0.0447	0.0407	0.0446	0.0819	0	-23.943611	132.786389	-23.937778	132.874167	8958.97960506225	0.00583299999999909	X01	X02	0
X01b	X06u	0.003	0.0122	0.0132	0.0251	0	-23.943611	132.786389	-23.956944	133.245556	46762.2929842121	-0.0133329999999994	X01	X06	0
X01b	X07u	0.0234	0.0218	0.0257	0.0465	0	-23.943611	132.786389	-23.907778	133.330833	55571.7688280037	0.0358330000000002	X01	X07	0
X01b	X08u	0.0194	-0.0047	-0.0051	-0.0098	0	-23.943611	132.786389	-23.845833	133.453611	68803.6840437794	0.0977780000000017	X01	X08	0
X01b	X10b	0.0387	8e-04	8e-04	0.0016	0	-23.943611	132.786389	-23.768056	133.626111	87720.0113051251	0.175554999999999	X01	X10	0
X01b	X10u	0.0133	0.0093	0.01	0.0191	0	-23.943611	132.786389	-23.768333	133.626389	87740.7438244859	0.175278000000002	X01	X10	0
X01u	X02b	0.0354	0.0142	0.0155	0.0293	0	-23.943611	132.786667	-23.938056	132.873889	8900.33706857503	0.00555500000000109	X01	X02	0
X01u	X02u	0.0038	0.0333	0.037	0.068	0	-23.943611	132.786667	-23.937778	132.874167	8930.75357550473	0.00583299999999909	X01	X02	0
X01u	X06u	-0.0032	0.0181	0.0199	0.0373	0	-23.943611	132.786667	-23.956944	133.245556	46734.0092928258	-0.0133329999999994	X01	X06	0
X01u	X07u	0.0151	0.0215	0.0257	0.0462	0	-23.943611	132.786667	-23.907778	133.330833	55543.5379771198	0.0358330000000002	X01	X07	0
X01u	X08u	0.0324	0.0119	0.0128	0.0244	0	-23.943611	132.786667	-23.845833	133.453611	68775.7271907129	0.0977780000000017	X01	X08	0
X01u	X10b	0.0694	0.0275	0.0295	0.0555	0	-23.943611	132.786667	-23.768056	133.626111	87692.3976842051	0.175554999999999	X01	X10	0
X01u	X10u	0.0233	0.0137	0.015	0.0282	0	-23.943611	132.786667	-23.768333	133.626389	87713.1276466326	0.175278000000002	X01	X10	0
X02b	X02u	0.052	0.0331	0.0364	0.0672	0	-23.938056	132.873889	-23.937778	132.874167	41.8207850449024	0.000277999999998002	X02	X02	1
X02b	X06u	0.0092	0.0097	0.0106	0.02	0	-23.938056	132.873889	-23.956944	133.245556	37890.8860551234	-0.0188880000000005	X02	X06	0
X02b	X07u	0.0415	0.0245	0.0289	0.0522	0	-23.938056	132.873889	-23.907778	133.330833	46643.2036097135	0.0302779999999991	X02	X07	0
X02b	X08u	0.0095	-0.0066	-0.0071	-0.0138	0	-23.938056	132.873889	-23.845833	133.453611	59913.9430440686	0.0922230000000006	X02	X08	0
X02b	X10b	0.0073	-0.007	-0.0075	-0.0147	0	-23.938056	132.873889	-23.768056	133.626111	78905.8057253027	0.169999999999998	X02	X10	0
X02b	X10u	0.016	0.008	0.0087	0.0165	0	-23.938056	132.873889	-23.768333	133.626389	78925.9153933489	0.169723000000001	X02	X10	0
X02u	X06u	-0.0371	0.0285	0.0317	0.0585	NA	-23.937778	132.874167	-23.956944	133.245556	37864.3849719611	-0.0191659999999985	X02	X06	0
X02u	X07u	-0.0341	0.0175	0.0212	0.038	0	-23.937778	132.874167	-23.907778	133.330833	46612.8178009885	0.0300000000000011	X02	X07	0
X02u	X08u	0.0545	0.0382	0.0418	0.077	0	-23.937778	132.874167	-23.845833	133.453611	59880.865365504	0.0919450000000026	X02	X08	0
X02u	X10b	0.0873	0.0495	0.0538	0.0984	0	-23.937778	132.874167	-23.768056	133.626111	78871.0405095909	0.169722	X02	X10	0
X02u	X10u	-0.0092	0.029	0.0322	0.0595	0	-23.937778	132.874167	-23.768333	133.626389	78891.1609651589	0.169445000000003	X02	X10	0
X06u	X07u	-0.0187	0.0113	0.0135	0.0246	0	-23.956944	133.245556	-23.907778	133.330833	10248.112130698	0.0491659999999996	X06	X07	0
X06u	X08u	0.0045	0.0067	0.0073	0.014	0	-23.956944	133.245556	-23.845833	133.453611	24500.899107703	0.111111000000001	X06	X08	0
X06u	X10b	0.0345	0.0179	0.0192	0.0365	0	-23.956944	133.245556	-23.768056	133.626111	44048.2600446108	0.188887999999999	X06	X10	0
X06u	X10u	-0.0117	0.0174	0.0192	0.0359	0	-23.956944	133.245556	-23.768333	133.626389	44058.5907836938	0.188611000000002	X06	X10	0
X07u	X08u	0.0273	0.0212	0.0249	0.0451	0	-23.907778	133.330833	-23.845833	133.453611	14263.213338183	0.0619450000000015	X07	X08	0
X07u	X10b	0.0571	0.0301	0.0352	0.0634	0	-23.907778	133.330833	-23.768056	133.626111	33829.5239579506	0.139721999999999	X07	X10	0
X07u	X10u	0.018	0.0187	0.0223	0.0402	0	-23.907778	133.330833	-23.768333	133.626389	33840.6708611822	0.139445000000002	X07	X10	0
X08u	X10b	0.0297	-0.0011	-0.0012	-0.0024	0	-23.845833	133.453611	-23.768056	133.626111	19575.5000830005	0.0777769999999975	X08	X10	0
X08u	X10u	0.0239	0.0089	0.0097	0.0184	0	-23.845833	133.453611	-23.768333	133.626389	19587.4624908398	0.0775000000000006	X08	X10	0
X10b	X10u	0.0544	0.0189	0.0203	0.0385	0	-23.768056	133.626111	-23.768333	133.626389	41.7638278435551	-0.000276999999996974	X10	X10	1
