lind	locus
562	L2405
563	L2408
564	L2409
565	L2411
566	L2415
567	L2419
568	L2420
569	L2421
570	L2422
571	L2424
572	L2426
573	L2429
574	L2437
575	L2439
576	L2447
577	L2451
578	L2456
579	L2458
580	L2467
581	L2468
582	L2473
583	L2475
584	L2477
585	L2478
586	L2481
587	L2483
588	L2484
589	L2493
590	L2500
591	L2504
592	L2507
593	L2509
594	L2512
595	L2514
596	L2517
597	L2524
598	L2525
599	L2530
600	L2531
601	L2535
602	L2536
603	L2539
604	L2540
605	L2541
606	L2545
607	L2548
608	L2560
609	L2567
610	L2569
611	L2571
612	L2579
613	L2580
614	L2582
615	L2583
616	L2587
617	L2589
618	L2596
619	L2608
620	L2617
621	L2618
622	L2619
623	L2625
624	L2634
625	L2638
626	L2640
627	L2641
628	L2644
629	L2650
630	L2651
631	L2662
632	L2666
633	L2679
634	L2683
635	L2684
636	L2696
637	L2702
638	L2703
639	L2707
640	L2708
641	L2714
642	L2716
643	L2720
644	L2731
645	L2737
646	L2743
647	L2746
648	L2747
649	L2749
650	L2753
651	L2757
652	L2762
653	L2777
654	L2780
655	L2781
656	L2784
657	L2786
658	L2790
659	L2797
660	L2799
661	L2800
662	L2801
663	L2808
664	L2809
665	L2810
666	L2817
667	L2818
668	L2822
669	L2824
670	L2832
671	L2833
672	L2845
673	L2849
674	L2850
675	L2851
676	L2860
677	L2861
678	L2862
679	L2873
680	L2874
681	L2875
682	L2881
683	L2882
684	L2886
685	L2893
686	L2897
687	L2899
688	L2903
689	L2904
690	L2908
691	L2912
692	L2919
693	L2920
694	L2926
695	L2928
696	L2930
697	L2931
698	L2932
699	L2933
700	L2938
701	L2944
702	L2945
703	L2946
704	L2948
705	L2961
706	L2971
707	L2972
708	L2973
709	L2975
710	L2984
711	L2990
712	L2995
713	L2997
714	L3003
715	L3018
716	L3019
717	L3025
718	L3030
719	L3036
720	L3037
721	L3043
722	L3047
723	L3048
724	L3054
725	L3057
726	L3058
727	L3060
728	L3064
729	L3067
730	L3075
731	L3080
732	L3082
733	L3098
734	L3100
735	L3103
736	L3104
737	L3105
738	L3110
739	L3115
740	L3118
741	L3119
742	L3120
743	L3124
744	L3128
745	L3131
746	L3132
747	L3139
748	L3140
749	L3143
750	L3145
751	L3146
752	L3148
753	L3150
754	L3154
755	L3155
756	L3158
757	L3159
758	L3171
759	L3173
760	L3175
761	L3181
762	L3185
763	L3187
764	L3188
765	L3193
766	L3197
767	L3202
768	L3204
769	L3206
770	L3211
771	L3212
772	L3214
773	L3217
774	L3218
775	L3219
776	L3221
777	L3223
778	L3224
779	L3225
780	L3227
781	L3233
782	L3238
783	L3241
784	L3243
785	L3244
786	L3245
787	L3251
788	L3257
789	L3258
790	L3269
791	L3271
792	L3277
793	L3282
794	L3283
795	L3284
796	L3285
797	L3295
798	L3296
799	L3297
800	L3300
801	L3303
802	L3304
803	L3307
804	L3313
805	L3316
806	L3317
807	L3320
808	L3323
809	L3328
810	L3329
811	L3330
812	L3337
813	L3339
814	L3340
815	L3343
816	L3347
817	L3352
818	L3361
819	L3364
820	L3374
821	L3378
822	L3385
823	L3388
824	L3390
825	L3391
826	L3392
827	L3393
828	L3396
829	L3397
830	L3400
831	L3401
832	L3403
833	L3405
834	L3409
835	L3416
836	L3417
837	L3419
838	L3422
839	L3436
840	L3440
841	L3446
842	L3448
843	L3454
844	L3455
845	L3457
846	L3466
847	L3471
848	L3473
849	L3475
850	L3491
851	L3498
852	L3500
853	L3505
854	L3508
855	L3516
856	L3517
857	L3518
858	L3529
859	L3530
860	L3534
861	L3539
862	L3543
863	L3548
864	L3560
865	L3569
866	L3581
867	L3582
868	L3583
869	L3595
870	L3596
871	L3598
872	L3599
873	L3607
874	L3609
875	L3610
876	L3617
877	L3619
878	L3621
879	L3626
880	L3628
881	L3629
882	L3634
883	L3639
884	L3640
885	L3646
886	L3650
887	L3654
888	L3655
889	L3663
890	L3664
891	L3666
892	L3669
893	L3672
894	L3673
895	L3679
896	L3680
897	L3691
898	L3696
899	L3699
900	L3717
901	L3718
902	L3728
903	L3731
904	L3736
905	L3737
906	L3742
907	L3744
908	L3749
909	L3750
910	L3760
911	L3767
912	L3770
913	L3774
914	L3779
915	L3780
916	L3782
917	L3786
918	L3798
919	L3799
920	L3803
921	L3808
922	L3809
923	L3810
924	L3811
925	L3812
926	L3815
927	L3822
928	L3826
929	L3834
930	L3840
931	L3851
932	L3854
933	L3863
934	L3864
935	L3865
936	L3871
937	L3872
938	L3874
939	L3877
940	L3879
941	L3882
942	L3886
943	L3896
944	L3907
945	L3919
946	L3921
947	L3922
948	L3923
949	L3924
950	L3929
951	L3936
952	L3943
953	L3947
954	L3948
955	L3949
956	L3955
957	L3957
958	L3961
959	L3962
960	L3963
961	L3969
962	L3970
963	L3973
964	L3976
965	L3978
966	L3981
967	L3987
968	L3990
969	L3994
970	L3995
971	L4001
972	L4002
973	L4003
974	L4007
975	L4008
976	L4013
977	L4015
978	L4023
979	L4024
980	L4025
981	L4034
982	L4037
983	L4040
984	L4042
985	L4044
986	L4046
987	L4048
988	L4049
989	L4050
990	L4051
991	L4059
992	L4064
993	L4066
994	L4067
995	L4072
996	L4073
997	L4075
998	L4082
999	L4084
1000	L4087
1001	L4091
1002	L4093
1003	L4094
1004	L4095
1005	L4096
1006	L4099
1007	L4106
1008	L4108
1009	L4109
1010	L4112
1011	L4120
1012	L4127
1013	L4129
1014	L4130
1015	L4131
1016	L4136
1017	L4139
1018	L4145
1019	L4146
1020	L4149
1021	L4150
1022	L4151
1023	L4152
1024	L4153
1025	L4156
1026	L4166
1027	L4169
1028	L4171
1029	L4176
1030	L4184
1031	L4185
1032	L4188
1033	L4189
1034	L4192
1035	L4196
1036	L4202
1037	L4203
1038	L4204
1039	L4205
1040	L4209
1041	L4213
1042	L4214
1043	L4216
1044	L4218
1045	L4224
1046	L4225
1047	L4234
1048	L4238
1049	L4239
1050	L4242
1051	L4249
1052	L4251
1053	L4254
1054	L4259
1055	L4260
1056	L4267
1057	L4268
1058	L4279
1059	L4283
1060	L4284
1061	L4289
1062	L4290
1063	L4293
1064	L4303
1065	L4308
1066	L4315
