pop1	pop2	fst	gst	Gst	GGst	D
X07b	X11b2	0.6461	0.573	0.8274	0.8902	0.3257
X07b	X11b3	0.6893	0.612	0.8435	0.9029	0.3236
X07u	X08b	0.8838	0.7803	0.9038	0.946	0.3078
X07u	X08u	-0.0365	0.0166	0.0226	0.0385	0
X07u	X10b	0.0227	-0.0157	-0.0174	-0.0336	-1e-04
X07u	X10u	-0.0157	0.0294	0.0409	0.0683	2e-04
X07u	X11b1	0.7641	0.6166	0.7976	0.8748	0.2679
X07u	X11b2	0.5605	0.4002	0.568	0.6915	0.1244
X07u	X11b3	0.6515	0.4789	0.6422	0.7581	0.1283
X08b	X08u	0.7433	0.6269	0.8342	0.8981	0.2871
X08b	X10b	0.908	0.8149	0.9192	0.9555	0.3117
X08b	X10u	0.7271	0.6087	0.8262	0.892	0.2855
X08b	X11b1	0.8087	0.6947	0.8952	0.9381	0.4172
X08b	X11b2	0.7392	0.6163	0.8537	0.9095	0.364
X08b	X11b3	0.7801	0.6559	0.8689	0.9208	0.3604
X08u	X10b	-0.0021	0.0366	0.0481	0.0817	6e-04
X08u	X10u	-0.2019	-0.0429	-0.0712	-0.1192	-0.0112
X08u	X11b1	0.4408	0.3609	0.5665	0.6814	0.1699
X08u	X11b2	0.2054	0.1813	0.3103	0.4162	0.0498
X08u	X11b3	0.249	0.2329	0.38	0.4971	0.0586
X10b	X10u	0.0261	0.0514	0.0693	0.1148	0.0015
X10b	X11b1	0.8065	0.6648	0.8306	0.8982	0.2842
X10b	X11b2	0.611	0.4448	0.6108	0.7306	0.1379
X10b	X11b3	0.7085	0.5316	0.6878	0.7961	0.1412
X10u	X11b1	0.3819	0.3257	0.5248	0.6416	0.1564
X10u	X11b2	0.148	0.156	0.2736	0.3716	0.042
X10u	X11b3	0.1965	0.2105	0.3509	0.4638	0.0527
X11b1	X11b2	-0.1011	0.0781	0.1298	0.1928	NA
X11b1	X11b3	-0.0523	0.1331	0.2087	0.3017	NA
X11b2	X11b3	-0.1736	0.0651	0.1133	0.1675	NA
