site	indiv	block	year	burn_unburnt	time_since_burn	no_samples	lat	long	K3	K4
10b	X10b_01	buf10	2018	b	1	5	-23.768056	133.626111	3	3
10b	X10b_02	buf10	2018	b	1	5	-23.768056	133.626111	3	3
10b	X10b_03	buf10	2018	b	1	5	-23.768056	133.626111	3	3
10b	X10b_04	buf10	2018	b	1	5	-23.768056	133.626111	3	3
10b	X10b_05	buf10	2018	b	1	5	-23.768056	133.626111	3	3
10u	X10u_01	buf10	2018	u	NA	5	-23.768333	133.626389	3	3
10u	X10u_02	buf10	2018	u	NA	5	-23.768333	133.626389	2	1
10u	X10u_03	buf10	2018	u	NA	5	-23.768333	133.626389	3	3
10u	X10u_04	buf10	2018	u	NA	5	-23.768333	133.626389	3	3
10u	X10u_05	buf10	2018	u	NA	5	-23.768333	133.626389	3	3
