site	indiv	assig1	assig2	assig3
X01b	X01b_01	9e-06	9e-06	0.999982
X01b	X01b_02	9e-06	9e-06	0.999981
X01b	X01b_03	9e-06	9e-06	0.999982
X01b	X01b_04	9e-06	9e-06	0.999981
X01u	X01u_01	0.999975	1.2e-05	1.3e-05
X01u	X01u_02	1e-05	1e-05	0.999979
X01u	X01u_03	9e-06	9e-06	0.999982
X01u	X01u_04	1.1e-05	1.1e-05	0.999979
X01u	X01u_05	1e-05	1e-05	0.99998
X02b	X02b_01	9e-06	9e-06	0.999982
X02b	X02b_02	9e-06	9e-06	0.999982
X02b	X02b_03	9e-06	9e-06	0.999981
X02b	X02b_04	9e-06	9e-06	0.999982
X02b	X02b_05	9e-06	9e-06	0.999981
X02u	X02u_01	2.3e-05	0.02841	0.971567
X02u	X02u_02	2.8e-05	2.8e-05	0.999943
X02u	X02u_03	1e-05	1e-05	0.999979
X02u	X02u_04	9e-06	9e-06	0.999982
X02u	X02u_05	2.7e-05	2.9e-05	0.999944
X03b	X03b_01	1.1e-05	0.999978	1.1e-05
X03b	X03b_02	1.1e-05	0.999978	1.1e-05
X03b	X03b_03	1e-05	0.999979	1e-05
X03b	X03b_04	1.1e-05	0.999978	1.1e-05
X03b	X03b_05	9e-06	9e-06	0.999982
X03u	X03u_01	1e-05	0.99998	1e-05
X03u	X03u_02	1e-05	0.99998	1e-05
X03u	X03u_03	1e-05	0.99998	1e-05
X03u	X03u_04	1e-05	0.99998	1e-05
X03u	X03u_05	1e-05	0.99998	1e-05
X05b	X05b_01	1.1e-05	0.975757	0.024232
X05b	X05b_02	1e-05	0.99998	1e-05
X05b	X05b_03	1e-05	0.999979	1e-05
X05b	X05b_04	1e-05	0.99998	1e-05
X05b	X05b_05	1e-05	0.99998	1e-05
X05u	X05u_01	1.3e-05	0.999974	1.3e-05
X05u	X05u_02	1.1e-05	0.999978	1.1e-05
X05u	X05u_03	1e-05	0.99998	1e-05
X05u	X05u_04	4e-05	0.704735	0.295225
X05u	X05u_05	1.1e-05	0.999978	1.1e-05
X06b	X06b_01	1e-05	0.906613	0.093377
X06b	X06b_02	1e-05	0.99998	1e-05
X06b	X06b_03	1e-05	0.999979	1e-05
X06b	X06b_04	1.1e-05	0.999978	1.1e-05
X06b	X06b_05	1e-05	0.999979	1e-05
X06u	X06u_01	4.3e-05	0.089593	0.910365
X06u	X06u_02	9e-06	9e-06	0.999981
X06u	X06u_03	9e-06	9e-06	0.999981
X06u	X06u_04	9e-06	9e-06	0.999981
X07b	X07b_01	0.999975	1.2e-05	1.3e-05
X07b	X07b_02	0.000222	0.112888	0.88689
X07b	X07b_03	0.999894	5.1e-05	5.4e-05
X07b	X07b_04	0.999975	1.2e-05	1.3e-05
X07b	X07b_05	0.000533	0.054257	0.94521
X07u	X07u_01	9e-06	9e-06	0.999982
X07u	X07u_02	1e-05	1e-05	0.999981
X07u	X07u_03	1e-05	0.103995	0.895995
X07u	X07u_04	9e-06	9e-06	0.999981
X07u	X07u_05	9e-06	9e-06	0.999981
X08b	X08b_01	0.999975	1.2e-05	1.3e-05
X08b	X08b_02	0.999975	1.2e-05	1.3e-05
X08b	X08b_03	0.999975	1.3e-05	1.3e-05
X08b	X08b_04	0.242924	0.463028	0.294048
X08b	X08b_05	0.999975	1.2e-05	1.3e-05
X08u	X08u_01	9e-06	9e-06	0.999982
X08u	X08u_02	9e-06	9e-06	0.999981
X08u	X08u_03	9e-06	9e-06	0.999982
X08u	X08u_04	1.1e-05	0.999978	1.1e-05
X08u	X08u_05	9e-06	9e-06	0.999982
X10b	X10b_01	9e-06	9e-06	0.999981
X10b	X10b_02	9e-06	9e-06	0.999981
X10b	X10b_03	9e-06	9e-06	0.999982
X10b	X10b_04	9e-06	9e-06	0.999981
X10b	X10b_05	9e-06	9e-06	0.999981
X10u	X10u_01	1.1e-05	1.1e-05	0.999978
X10u	X10u_02	1e-05	0.99998	1e-05
X10u	X10u_03	9e-06	9e-06	0.999982
X10u	X10u_04	9e-06	9e-06	0.999981
X10u	X10u_05	1e-05	1e-05	0.999981
X11b1	X11b1_01	1.4e-05	0.999971	1.5e-05
X11b1	X11b1_02	1.1e-05	0.999978	1.1e-05
X11b1	X11b1_03	3.7e-05	0.999537	0.000426
X11b1	X11b1_04	2e-05	0.99996	2e-05
X11b1	X11b1_05	1.8e-05	1.8e-05	0.999964
X11b2	X11b2_01	1.4e-05	0.936422	0.063564
X11b2	X11b2_02	1.4e-05	1.5e-05	0.999971
X11b2	X11b2_03	1.5e-05	0.0279	0.972086
X11b2	X11b2_04	1.8e-05	0.98903	0.010951
X11b2	X11b2_05	1.3e-05	0.999974	1.3e-05
X11b3	X11b3_01	1.8e-05	2e-05	0.999961
X11b3	X11b3_02	1.9e-05	0.840088	0.159893
X11b3	X11b3_03	2.2e-05	0.999956	2.2e-05
X11b3	X11b3_04	3.6e-05	3.7e-05	0.999927
X11b3	X11b3_05	1.8e-05	0.999963	1.8e-05
