site	max_n	Ho_neutral	He_neutral	Fis_neutral	ar_neutral	Ho_nonneutral	He_nonneutral	Fis_nonneutral	ar_nonneutral
X01b	4	0.0124009294730892	0.00993626956082786	-0.175477707006369	1.01023855877841	0.0112051077414206	0.00862843392821335	-0.193076923076923	1.00911431611751
X01u	5	0.0173229186272665	0.197389372103359	0.887690299532839	1.1721944875154	0.017104424073336	0.196470113085622	0.884447879858657	1.17041586795473
X02b	5	0.014369826937547	0.0115285022940104	-0.138643067846608	1.01183961963684	0.0140780565511748	0.0112115768463074	-0.139009433962264	1.01150461777702
X02u	5	0.0110413524384113	0.0212059007723888	0.332122571001495	1.01823636149617	0.0114157348242812	0.0212360801781737	0.354852941176471	1.01884999873219
X03b	5	0.0263369251973437	0.330428130263897	0.908103677028052	1.25890035461204	0.0283677932405567	0.338366890380313	0.904401304090101	1.26423822146486
X03u	5	0.031091524467635	0.0212094353109364	-0.383722438391699	1.02203704449862	0.0310232870577698	0.0215095194922937	-0.359156626506024	1.02231018844319
X05b	5	0.0455733534992438	0.0371461025131336	-0.16403162055336	1.0369308968374	0.0457763703865473	0.0365286839145107	-0.177322404371585	1.03659026542844
X05u	5	0.0338444444444444	0.0517983946778509	0.272370251471375	1.04791021825397	0.0333964340744002	0.0532731428571429	0.2964	1.04889695991391
X06b	5	0.0594939791638479	0.0581063829787234	-0.0534456304202802	1.05540500780658	0.0600171747531129	0.0566110108303249	-0.0711707841031149	1.05421326681524
X06u	4	0.0113282183510471	0.0159170013386881	0.229675767918089	1.01534075425026	0.0104233226837061	0.0157194973652209	0.25989010989011	1.01481439221056
X07b	5	0.0303979758126769	0.0633968641442118	0.391348122866894	1.05349113771363	0.0289089439655172	0.0580371900826446	0.376705202312139	1.04933057094964
X07u	5	0.0398600125549278	0.0402922241858117	0.00222509225092251	1.04001106029355	0.0392165071770335	0.0412497496495093	0.0146511627906977	1.04046448191185
X08b	5	0.0320306812272491	0.0287435578460992	-0.126102941176471	1.02860362033529	0.0317656675749319	0.0296149553571429	-0.0932575757575758	1.02923229964102
X08u	5	0.0167401653720872	0.248172346701814	0.911628071594701	1.22119570621199	0.016403578528827	0.25196094061379	0.916073464217859	1.22454179683802
X10b	5	0.0104041991450842	0.00766464416635065	-0.221721518987342	1.00798664742907	0.0109268877347183	0.00812273641851107	-0.212898550724638	1.00836995605274
X10u	5	0.0205720192970365	0.28381353799698	0.90052403800922	1.24911386186369	0.0193180914512922	0.286798482125025	0.905666568134792	1.25139796143772
X11b1	5	0.023550936967632	0.263071391439958	0.867411742495752	1.17321110840702	0.0247995689655172	0.268525907453588	0.861028708133971	1.17458795155993
X11b2	5	0.034141279765864	0.370267202100548	0.869327588458023	1.27009049329456	0.0364962884411453	0.371571534469978	0.862880726372266	1.27188237472437
X11b3	5	0.024942354368932	0.365461778303408	0.882926045016077	1.20858213178071	0.0282899179932465	0.358736660929432	0.882276315789474	1.20681819922051
